name,address,rating,user_ratings_total,place_id,types,taluka,latitude,longitude,Unnamed: 9,Unnamed: 10,categories
Sahil Boat Trips,"Patnem canacona goa, South goa ,403702 Patnem beach, Canacona, Goa 403702, India",5.0,58.0,ChIJ471hdIlbvjsR_MMjI3PVPuE,"tourist_attraction, travel_agency, point_of_interest, establishment",Canacona,14.9991402,74.0321115,,,['beaches']
Rudra Boat Trip Talpona,"Jetty, Talpona, beach, Poingunin, Goa 403702, India",5.0,48.0,ChIJkX24D9ZbvjsRYzJ62aS4hP8,"tourist_attraction, point_of_interest, establishment",Canacona,14.9829136,74.0398425,,,['beaches']
National Flag mast,"FRWQ+485, Panaji - Farmagudi - Margao Hwy Bypass Rd, Patto Centre, Bambolim, Panaji, Goa 403001, India",5.0,8.0,ChIJZ3G-qP_BvzsRv6dY5BejKwo,"museum, point_of_interest, establishment",Tiswadi (Panaji),15.4952612,73.838359,,,['historical']
Mitansh_boat_trip,"End of palolem beach, end of road, Palolem, Canacona, Goa 403702, India",5.0,5.0,ChIJF0dLRrFFvjsRdCulOZjvCM8,"tourist_attraction, point_of_interest, establishment",Canacona,15.0136087,74.0160597,,,['beaches']
GOI - Glimpses Of India,"Talewada, Betora, Ponda, Goa 403409, India",5.0,4.0,ChIJAQAAALy6vzsRtmA7M6-XUpg,"museum, point_of_interest, establishment",Ponda,15.3820842,74.015019,,,['historical']
Srikarisapusiá Beach,"ROCKPOOL, 495, W Goa, 2, Vagator Beach Rd, Vagator, Anjuna, Goa 403509, India",5.0,3.0,ChIJuVglFADpvzsRWe4ZHq21IEw,"tourist_attraction, point_of_interest, establishment",Bardez (Mapusa),15.6066796,73.7323809,,,['beaches']
Kolz Bon Beach Wedding,"81/5, Palolem, Canacona, Goa 403702, India",5.0,2.0,ChIJsdnjfXRFvjsR2vumsP9H730,"tourist_attraction, point_of_interest, establishment",Canacona,15.0038117,74.0265002,,,['beaches']
Old baniyan Tree GOA-Madgaon,"7XM4+HPM, Colva Circle, Fatorda, Madgaon",5.0,1.0,ChIJVXc7FQCzvzsRgyweRRDa-Ls,"tourist_attraction, point_of_interest, establishment",Salcete (Margao),15.2839617,73.9568038,,,['historical']
GYAN DOLPHIN TRIP,"Main beach road, near sumitra stores, Patnem, Palolem, Canacona, Goa 403702, India",5.0,1.0,ChIJPZEPUclbvjsRdFNAz4pypIk,"tourist_attraction, point_of_interest, establishment",Canacona,14.9978902,74.033415,,,"['beaches', 'shopping']"
Palolem boat kayaking backwater,"Beach, near st.cruz chapel, Palolem, Canacona, Goa 403702, India",4.9,107.0,ChIJRwiKArBFvjsRWln8gzgJsjU,"tourist_attraction, point_of_interest, establishment",Canacona,15.0130747,74.0159922,,,"['adventure', 'beaches', 'religious']"
