name,address,rating,user_ratings_total,place_id,types,taluka,latitude,longitude,Unnamed: 9,Unnamed: 10,categories
Madei Wildlife Sanctuary,"H5WQ+M5W, Nagargaon, Kodal, Goa 403506, India",4.6,93.0,ChIJ8XnJ49SfvzsRjmqYVVklMY4,"zoo, park, point_of_interest, establishment, wildlife sanctuary, adventure, trekking, peaceful",Sattari (Valpoi),15.5967304,74.1879633,,,"['adventure', 'nature', 'peaceful']"
Netravali Wildlife Sanctuary,"36MJ+FR7, Unnamed Road, Neturlim, Netravli, Goa 403704, India",4.5,664.0,ChIJrV85rh75vjsRUHVODTEwKkY,"park, point_of_interest, establishment, wildlife sanctuary, wildlife exploration, trekking, scenic, peaceful",Ponda,15.0836711,74.2320539,,,"['adventure', 'nature', 'peaceful', 'scenic']"
Cotigao Wildlife Sanctuary Office,"X4M5+VCR, Hatipal,Partgal, Poingunin, Canacona, Goa 403702, India",4.2,326.0,ChIJ_____8NavjsRWcgl0iw89vk,"park, point_of_interest, establishment, wildlife sanctuary, wildlife exploration, trekking, scenic, peaceful, bird watching",Sanguem,14.984734,74.1085117,,,"['adventure', 'nature', 'peaceful', 'scenic']"
Tiger Waterfall,"75FM+96, Dudal, Goa 403704, India",3.9,8.0,ChIJ-2LnZACrvzsRL-L7iYn3oAU,"tourist_attraction, point_of_interest, establishment, waterfall, trekking, peaceful, adventure, wildlife exploration",Sanguem,15.2734367,74.1831127,,,"['adventure', 'nature', 'peaceful']"
"Mangrove Boating & Wildlife Tour: Crocodiles, Birdwatching & Fishing by GoaSay","Vanxim Island, Panaji, Goa 403403, India",5.0,187.0,ChIJ8xU_9vG_vzsR70nvInd_y4w,"tourist_attraction, point_of_interest, establishment",Sattari (Valpoi),15.5418446,73.9067666,,,['nature']
"Bhagwan Mahavir Wildlife Sanctuary, Bolkarne Gate","C5JW+X52, Surla, Goa 403406, India",5.0,1.0,ChIJpXeS16mnvzsRa2DeqYmebpw,"point_of_interest, establishment",Ponda,15.4323949,74.1953814,,,['nature']
Bhagwan Mahavir Wildlife Sanctuary Check Post,"C5MW+235, Unnamed Road, Surla, Goa 403406, India",5.0,1.0,ChIJP7q-VMynvzsRMd6RujwGemU,"point_of_interest, establishment",Ponda,15.4325051,74.1952426,,,['nature']
Dabem vaircho trek waterfall,"H456+P3V, Dabem, Jarma, Goa 403506, India",5.0,1.0,ChIJT9LKYACjvzsRJqvn73XzNrE,"tourist_attraction, point_of_interest, establishment",Sattari (Valpoi),15.5593564,74.1101854,,,"['adventure', 'nature']"
Untamed west - Birding in Goa,"St. Roque vaddo, Kolval, Bardez, Goa 403513, India",4.9,41.0,ChIJk3BdDU_rvzsRfX3StPRPCP4,"park, point_of_interest, establishment, wildlife experience, bird watching, guided tours, photography",Pernem,15.6435292,73.8352628,,,"['nature', 'nightlife', 'photography']"
"Kadamba Shri Mahadeva Temple, Tambdisurla","C7Q3+J27, Near Bhagwan Mahaveer Wildlife Sanctury, Sanguem, Surla, Goa 403406, India",4.8,5158.0,ChIJKTeIBk4IvzsRekHQksfEKkk,"hindu_temple, tourist_attraction, place_of_worship, point_of_interest, establishment,historical",Dharbandora,15.4390499,74.2525571,,,"['historical', 'nature', 'religious']"
