name,address,rating,user_ratings_total,place_id,types,taluka,latitude,longitude,Unnamed: 9,Unnamed: 10,categories
"Mangrove Boating & Wildlife Tour: Crocodiles, Birdwatching & Fishing by GoaSay","Vanxim Island, Panaji, Goa 403403, India",5.0,187.0,ChIJ8xU_9vG_vzsR70nvInd_y4w,"tourist_attraction, point_of_interest, establishment",Sattari (Valpoi),15.5418446,73.9067666,,,['nature']
PCCE FALLS,"Gounlloy, Verna, Lotli, Goa 403713, India",5.0,46.0,ChIJI3Xzhlm3vzsRIzZQ7Lu0nm4,"tourist_attraction, point_of_interest, establishment",Salcete (Margao),15.3269517,73.9336924,,,['nature']
Kalimata Temple,"GQ4V+J2G Kalimata Temple, Nerul, Goa 403114, India",5.0,43.0,ChIJod_l4qPBvzsREhr_w9NrCyM,"hindu_temple, place_of_worship, point_of_interest, establishment",Tiswadi (Panaji),15.5066216,73.7926002,,,['religious']
Bible Church Goa,"406, 4th Floor, Gera Imperium 2, above Ritz Classic Restaurant, Patto Centre, Panaji, Goa 403001, India",5.0,31.0,ChIJA03QsezAvzsRpCtFdbh5sOE,"church, place_of_worship, health, point_of_interest, establishment",Tiswadi (Panaji),15.4933117,73.8362419,,,"['food', 'religious']"
Grace And Truth Baptist Church,"The International Centre Goa, Dr E Borges Rd, Dona Paula, Durgavado, Goa 403004, India",5.0,31.0,ChIJ16nFvo7AvzsRLORxlM-jylM,"church, place_of_worship, point_of_interest, establishment",Tiswadi (Panaji),15.4585576,73.8205986,,,['religious']
Laxmi Narayan Temple,"HWPW+7RJ, Auchitwada, Dicholi, Goa 403504, India",5.0,20.0,ChIJ8R1W-Q-XvzsRT32O5D7_5Lg,"hindu_temple, place_of_worship, point_of_interest, establishment",Bicholim,15.5856935,73.9470159,,,['religious']
Konkan Vihar,"Dodamarg Teacher Colony, Road, Sawantwadi",5.0,16.0,ChIJKXwUpoaRvzsR3DkW7TGLCPM,"tourist_attraction, point_of_interest, establishment",Pernem,15.683735,73.969832,,,['nature']
Prabhupad Bhavan Iskcon,"H23J+2JX, Dinkarnagar, Rudreshwar Colony, Harvale, Goa 403505, India",5.0,12.0,ChIJCc6DOtujvzsR5ySYMANc41s,"hindu_temple, place_of_worship, point_of_interest, establishment",Sattari (Valpoi),15.5526135,74.0316081,,,['religious']
Shivde Dharbandora Goa (घोडकाआजो प्रसन्न),"C48V+RRQ, MDR33, Darbandora, Conquirem Shivade, Goa 403406, India",5.0,7.0,ChIJqVYZDACnvzsRrLH7fqCoz4w,"hindu_temple, place_of_worship, point_of_interest, establishment",Dharbandora,15.4170784,74.1446069,,,['religious']
Shree Sateri Pachapuris Temple,"6662+7FW, Salavli, Goa 403704, India",5.0,6.0,ChIJg7JfPPFVvjsROW1w24_OvtU,"hindu_temple, place_of_worship, point_of_interest, establishment",Sanguem,15.210737,74.201206,,,['religious']
Mahadev Temple,"949R+QRG, Thatodi, Darbandora, Goa 403406, India",5.0,6.0,ChIJbVsfkLmpvzsRQvvdRZSZ96Y,"hindu_temple, place_of_worship, point_of_interest, establishment",Dharbandora,15.3694294,74.1420644,,,['religious']
Nuvem Church Christmas Crib,"8W5W+5CV, Majorda-Nuvem Road, Madgaon",5.0,5.0,ChIJpybrdQCxvzsRXoafLa5gOFo,"tourist_attraction, point_of_interest, establishment",Salcete (Margao),15.3081875,73.9462052,,,['religious']
