name,address,rating,user_ratings_total,place_id,types,taluka,latitude,longitude,Unnamed: 9,Unnamed: 10,categories,anchor_distance_km,cluster,day,normalized_google_rating,weighted_rating,quantity_factor,popularity_score,cluster_max_popularity,normalized_popularity,within_anchor_radius,day_rank
"Our Lady of Good Hope Church, Candolim","GQ9G+5WW, Candolim, Goa 403511, India",4.5,655.0,ChIJj8rE_7vBvzsRoMEWGV1J-Nc,"tourist_attraction, church, place_of_worship, point_of_interest, establishment,religious,historical",Tiswadi (Panaji),15.5179909,73.777324,,,"['historical', 'religious']",8.524807154853995,0,1,0.875,0.8749262505645891,0.5602822650537195,0.7490686563602412,0.8800001498697827,0.8512142372601686,True,0
Francoise beach,"GQ67+JV3, Candolim, Goa 403515, India",4.5,220.0,ChIJQfjVvdbBvzsRMto7GRPLuBA,"tourist_attraction, point_of_interest, establishment",Bardez (Mapusa),15.5114419,73.7646301,,,['beaches'],8.656630942768079,0,1,0.875,0.8747810876487347,0.46629969930598075,0.7113885323116331,0.8800001498697827,0.8083959217699,True,1
"Museum of Goa, MOG","79, Estate, Pilerne Industrial Estates, Pilern, Goa 403511, India",4.0,8746.0,ChIJsz_IVjXAvzsRKB-KUSodijs,"cafe, art_gallery, food, museum, point_of_interest, establishment",Tiswadi (Panaji),15.525516,73.795263,,,"['food', 'historical']",8.950454457449581,0,1,0.75,0.7500087596170539,0.7840359081699491,0.763619619038212,0.8800001498697827,0.8677494193054489,True,1
AAA All About Alcohol Museum,"Main Road, Candolim, Goa 403515, India",4.6,2010.0,ChIJ2dIMYnfBvzsREa3ZA2AyWyw,"museum, point_of_interest, establishment",Bardez (Mapusa),15.5095841,73.7693015,,,['historical'],9.018240926418855,0,1,0.8999999999999999,0.8999635108753705,0.6570487680296399,0.8027976137370783,0.8800001498697827,0.9122698602447642,True,1
Cunchelim Waterfall,"JR7C+Q7, Mapusa, Goa 403526, India",3.3,19.0,ChIJ1_HG70LrvzsR9_yqsEpZaw4,"tourist_attraction, point_of_interest, establishment, adventure, waterfall, trekking, scenic",Bardez (Mapusa),15.6141969,73.8206561,,,"['adventure', 'nature', 'scenic']",9.26718558823666,0,1,0.575,0.5875810185185184,0.25877490835292755,0.45605857445228204,0.8800001498697827,0.5182482917983218,True,1
Mandrem Beach,"MP95+VR7, Near Chopdem, Mandrem, Goa 403527, India",4.6,6875.0,ChIJ0YVAXejuvzsRwE5XWdcQbO4,"tourist_attraction, point_of_interest, establishment, beach, relaxation, scenic, photography, peaceful",Bardez (Mapusa),15.6696522,73.7095472,,,"['beaches', 'peaceful', 'photography', 'relaxation', 'scenic']",9.898776059152667,0,1,0.8999999999999999,0.8999893281515953,0.7632462286607051,0.8452920883552393,0.8800001498697827,0.9605590277232574,True,1
Sinquerim Beach,"FQX8+MXF, Sinquerim, Candolim, Goa 403519, India",4.6,481.0,ChIJM5xmqdrBvzsR0UQsbvbKJDA,"tourist_attraction, point_of_interest, establishment,beach",Bardez (Mapusa),15.4991764,73.7674326,,,['beaches'],10.047136085157844,0,1,0.8999999999999999,0.8998477601045027,0.5336581429642696,0.7533719132484096,0.8800001498697827,0.8561043010730045,True,1
Sinquerim Fort,"FQX8+9GH, Candolim, Goa, India",4.5,18599.0,ChIJ2SyWw3XBvzsREmaXkve8H78,"tourist_attraction, point_of_interest, establishment,fort,historical",Bardez (Mapusa),15.4984466,73.7663559,,,"['fort', 'historical']",10.091069485204825,0,1,0.875,0.8749973989446436,0.8492062631405913,0.8646809446230227,0.8800001498697827,0.9825918151843192,True,1
Sinquerim Fort view Point,"FQX7+2XG, Below Taj holiday village Sinquerim, beach, Aguada Fort Area, Candolim, Goa 403515, India",4.6,308.0,ChIJTYvlxXfBvzsRoLIpck2UZqE,"tourist_attraction, point_of_interest, establishment",Bardez (Mapusa),15.4975629,73.7649449,,,"['beaches', 'fort', 'historical', 'scenic']",10.14353717675742,0,1,0.8999999999999999,0.8997625254704543,0.49525282235089274,0.7379586442226297,0.8800001498697827,0.8385892256175508,True,1
Kaurati's Caves,"Unnamed Road, Aguada Fort Area, Candolim, Goa 403515, India",4.5,1204.0,ChIJnRktZeLBvzsR0FO3uIXpDqk,"tourist_attraction, point_of_interest, establishment",Bardez (Mapusa),15.4942477,73.7666941,,,"['fort', 'historical']",10.549331997787002,0,1,0.875,0.8749598509297679,0.6128084236013547,0.7700992799984027,0.8800001498697827,0.8751126691425649,True,1
