name,address,rating,user_ratings_total,place_id,types,taluka,latitude,longitude,Unnamed: 9,Unnamed: 10,categories,anchor_distance_km,cluster,day,normalized_google_rating,weighted_rating,quantity_factor,popularity_score,cluster_max_popularity,normalized_popularity,within_anchor_radius,day_rank
Ruins of Lakshmi Narayana Swamy Temple,"452V+P96, Vichundrem, Digali, Goa 403704, India",4.6,21.0,ChIJl5gSxGpWvjsRoE1V_M81zJk,"hindu_temple, place_of_worship, point_of_interest, establishment",Sanguem,15.1017751,74.1933999,,,"['historical', 'religious']",2.0024144856490893,0,1,0.8999999999999999,0.8977941176470587,0.4389805057488243,0.714268672887765,0.9549614018835881,0.7479555419506221,True,0
Netravali Wildlife Sanctuary,"36MJ+FR7, Unnamed Road, Neturlim, Netravli, Goa 403704, India",4.5,664.0,ChIJrV85rh75vjsRUHVODTEwKkY,"park, point_of_interest, establishment, wildlife sanctuary, wildlife exploration, trekking, scenic, peaceful",Ponda,15.0836711,74.2320539,,,"['adventure', 'nature', 'peaceful', 'scenic']",3.05995130548187,0,1,0.875,0.8749646174259178,0.9230801082226373,0.8942108137446056,0.9549614018835881,0.936384247552669,True,1
Savri Waterfall Parking,"368M+2M, Neturlim, Netravli, Goa 403704, India",4.4,54.0,ChIJjxWfjs35vjsRqyfLAyrfN1I,"tourist_attraction, point_of_interest, establishment, scenic, short visit",Sanguem,15.0666853,74.2341689,,,"['nature', 'scenic']",3.9587527884471467,0,1,0.8500000000000001,0.8500267379679145,0.5691093457633194,0.7376597810860764,0.9549614018835881,0.772449838947521,True,1
Neturlem Waterfall (Savri),"366J+FQM, Neturlim, Netravli, Goa 403704, India",4.7,1142.0,ChIJ9WBFt234vjsR5aNM4Prx2cA,"tourist_attraction, park, point_of_interest, establishment,waterfall,nature",Dharbandora,15.0612063,74.2319242,,,['nature'],4.153251615867106,0,1,0.925,0.9249356698059802,1.0,0.9549614018835881,0.9549614018835881,1.0,True,1
Mountain Top Ambe Forest Checkpost,"3578+7PG, Unnamed Road, Mangal, Goa 403704, India",3.8,12.0,ChIJUyqTjzRXvjsRStsomulWLSs,"tourist_attraction, point_of_interest, establishment",Sanguem,15.0631936,74.1668166,,,['nature'],4.7533662016338605,0,1,0.7,0.7116515837104073,0.36426635452232814,0.5726974920351756,0.9549614018835881,0.5997074760357578,True,1
Old Bridge Curpem,"45HQ+8HX, Kurpe",4.7,6.0,ChIJkW4juaNVvjsR4GJEu-QDzhM,"tourist_attraction, point_of_interest, establishment",Canacona,15.1283741,74.188976,,,['historical'],4.888420289988887,0,1,0.925,0.9144957983193277,0.27635227735096074,0.6592383899319809,0.9549614018835881,0.6903298799634034,True,1
Hidden Waterfall,"25XG+WVJ, Mangal, Goa 403702, India",5.0,1.0,ChIJQY6pAgBXvjsRZFGL41GIuXo,"park, point_of_interest, establishment",Dharbandora,15.0498253,74.1771558,,,['nature'],5.003496706489517,0,1,1.0,0.9257352941176471,0.0984386673660817,0.5948166434170209,0.9549614018835881,0.6228698272451543,True,1
Aqueous Spice Farm,"Tilamol – Rivona – Colomb – Curdi (Zambaulim), Kurpe, Goa 403704, India",4.7,31.0,ChIJmf2RnZdVvjsRSUKaYz2KxGE,"park, point_of_interest, establishment",Sanguem,15.1241694,74.1742121,,,"['food', 'nature']",5.227414022298859,0,1,0.925,0.922702205882353,0.49219333683040856,0.7504986582615751,0.9549614018835881,0.785894232773465,True,1
Ravna Dongar,"26R9+QRM, Cotigao, Goa 403704, India",4.4,7.0,ChIJ2dEzQ0P5vjsRtr_GXnNtIvo,"park, point_of_interest, establishment",Dharbandora,15.0419619,74.2195388,,,['nature'],5.2650176254417405,0,1,0.8500000000000001,0.8501838235294119,0.2953160020982451,0.6282366949569451,0.9549614018835881,0.6578660600499626,True,1
Bharsa Waterfall,"3566+62Q, Unnamed Road, Gaundongren, Goa 403704, India",4.4,10.0,ChIJrQVFRDdXvjsRmCeuMjk2IGg,"tourist_attraction, point_of_interest, establishment, trekking, waterfall, scenic, moderately crowded",Sanguem,15.0605999,74.1601111,,,"['adventure', 'nature', 'scenic']",5.515177620829783,0,1,0.8500000000000001,0.8501336898395723,0.34054183838274255,0.6462969492568404,0.9549614018835881,0.6767780854619562,True,1
