name,address,rating,user_ratings_total,place_id,types,taluka,latitude,longitude,Unnamed: 9,Unnamed: 10,categories,anchor_distance_km,cluster,day,normalized_google_rating,weighted_rating,quantity_factor,popularity_score,cluster_max_popularity,normalized_popularity,within_anchor_radius,day_rank
Dhadem sunset point,"74C9+CXQ, Sanvardem",4.3,44.0,ChIJe1SapR6tvzsRBdMzwbw0knM,"tourist_attraction, point_of_interest, establishment",Sanguem,15.2710992,74.1199906,,,['photography'],22.378706790872798,0,1,0.825,0.8258819444444444,0.3681066721759598,0.6427718355370505,0.9399993161572475,0.6838003224988779,True,0
Chandor fort,"7354+62V, Cotta Chandor Goa, Kantivaddo Ravora, Chandor, Guirdolim, Goa 403714, India",4.4,10.0,ChIJzdTxVOStvzsR9srFXvoRiYc,"point_of_interest, establishment",Sanguem,15.2581211,74.0550595,,,"['fort', 'historical']",24.850652534553458,0,1,0.8500000000000001,0.8513352272727274,0.23187799061994893,0.603552332611616,0.9399993161572475,0.6420774166931957,True,1
Ancient Kadamba Shri Shiva Temple/ Nandi Bull,"7353+6XW, Cotta Chandor Goa, Kantivaddo Ravora, Chandor, Guirdolim, Goa 403714, India",4.3,92.0,ChIJ28ip8qKtvzsRlPcMLNDkz-E,"hindu_temple, place_of_worship, point_of_interest, establishment",Sanguem,15.258105,74.0549473,,,"['historical', 'nature', 'religious']",24.85701386135243,0,1,0.825,0.8254267473118279,0.43830523988265574,0.670578144340159,0.9399993161572475,0.7133815235967487,True,1
Fernandes Heritage House,"Fort Area Salcette, Cotta Diasvaddo, Chandor, Guirdolim, Goa 403714, India",4.3,367.0,ChIJVd1h6pitvzsRpMu8Fjh2Paw,"tourist_attraction, point_of_interest, establishment",Sanguem,15.2558395,74.0518574,,flag,"['fort', 'historical']",24.88050693144697,0,1,0.825,0.8251078464673913,0.5713153596236351,0.7235908517298888,0.9399993161572475,0.7697780618479121,True,1
RAJ DUDHSAGAR WATERFALLS,"Gudi, Paroda, Margao, Goa 403714, India",5.0,1.0,ChIJnQ8VZmmtvzsRHOG0_45A7Ds,"amusement_park, point_of_interest, establishment",Sanguem,15.2428627,74.0355993,,,['nature'],25.036293928780225,0,1,1.0,0.9323437499999999,0.06702777108549636,0.5862173584341984,0.9399993161572475,0.6236359413862949,True,1
Cola backwaters kayaking spot,"Cola Beach Rd, Canacona, Kola, Goa 403702, India",4.6,57.0,ChIJD4hhuDtPvjsR_Wfabyrh0oQ,"tourist_attraction, point_of_interest, establishment",Canacona,15.05696,73.9714593,,,"['adventure', 'beaches']",25.159052483030102,0,1,0.8999999999999999,0.8993911637931034,0.39264740916459906,0.6966936619417016,0.9399993161572475,0.7411640093418487,True,1
Cola beach kayaking - ADI kayaking service,"Cola Beach Rd, Canacona, Kola, Goa 403702, India",4.6,505.0,ChIJXwPVMhdbvjsRu59-xLH3ecw,"tourist_attraction, travel_agency, point_of_interest, store, establishment,adventure",Canacona,15.0573791,73.9713667,,,"['adventure', 'beaches', 'shopping']",25.162785758195234,0,1,0.8999999999999999,0.8999302124505928,0.6021100369870949,0.7808021422651936,0.9399993161572475,0.8306411811629205,True,1
Nagesh Love Forest,"Gudi, Quepem Rd, Chandor, Goa 403714, India",3.4,404.0,ChIJNShtiX6tvzsRfW6eUqD5Xtc,"tourist_attraction, amusement_park, point_of_interest, establishment",Salcete (Margao),15.2421745,74.0332858,,,['nature'],25.163251408629808,0,1,0.6,0.6006535493827161,0.5805796795308269,0.5926240014419604,0.9399993161572475,0.6304515240124104,True,1
Flames Garden Cafe & Plants Nursery,"opposite Chandor Club, Villa Formosa, Chandor",4.8,78.0,ChIJ40ujhS2tvzsRQYI0mfOey6w,"cafe, tourist_attraction, clothing_store, food, store, point_of_interest, establishment",Sanguem,15.2598132,74.0476968,,,"['food', 'nature', 'nightlife', 'shopping']",25.506800282377487,0,1,0.95,0.9489200949367088,0.4225283729619739,0.7383634061468148,0.9399993161572475,0.7854935567030752,True,1
Small Waterfall,"86HM+V2, Shigaon, Goa 403410, India",5.0,4.0,ChIJazK4bgAHvzsRmMWDF_G6-TY,"tourist_attraction, point_of_interest, establishment",Dharbandora,15.3297474,74.2325394,,,"['nature', 'shopping']",27.192393606614203,0,1,1.0,0.9729375,0.15563366482109278,0.646015965928437,0.9399993161572475,0.6872515275536312,True,1
"Devils Canyon, Dudhsagar Waterfalls Trail","8873+2WV, Sonauli, Goa 403410, India",4.2,23.0,ChIJB8JstKwGvzsR9P-DIj9isWc,"park, point_of_interest, establishment",Sanguem,15.3126009,74.3047931,,,['nature'],27.351087967912605,0,1,0.8,0.8026953125,0.30731981693392263,0.604545114273569,0.9399993161572475,0.6431335681657431,True,1
Dudhsagar Watchtower,"8857+H9Q, Sonauli",4.5,59.0,ChIJCSnWIz8DvzsR5eMWjTFqWYI,"tourist_attraction, point_of_interest, establishment",Quepem,15.309264,74.3130526,,,['historical'],27.378739597799665,0,1,0.875,0.874828125,0.39592571066951904,0.6832671592678076,0.9399993161572475,0.7268804854678292,True,1
Dudhsagar Plantation,"Karmane Village, Mollem, Goa 403706, India",4.7,260.0,ChIJd_7s7g2pvzsR0zPOCYSiIw0,"lodging, point_of_interest, food, establishment",Sanguem,15.3296133,74.1601603,,,"['food', 'nature']",27.40312095459633,0,1,0.925,0.9247689176245211,0.5380926454339698,0.7700984087483006,0.9399993161572475,0.8192542223291096,True,1
waterfall spot,"8867+86H, Sonauli, Goa 403410, India",4.4,28.0,ChIJqywLW10DvzsRe-CytWkMWNI,"park, point_of_interest, establishment",Sanguem,15.3108179,74.3131114,,,['nature'],27.537632813322755,0,1,0.8500000000000001,0.8505064655172414,0.32561963807910277,0.640551734541986,0.9399993161572475,0.6814385112114608,True,1
Dudhsagara Waterfall Camp Site,"Sonauli, Goa 403410, India",4.6,573.0,ChIJaxzmhv8DvzsRKsGgRYDJeIs,"park, tourist_attraction, point_of_interest, establishment",Sanguem,15.3126988,74.3143903,,,['nature'],27.785320926275784,0,1,0.8999999999999999,0.8999384799651567,0.6143032835010981,0.7856844013795332,0.9399993161572475,0.8358350776162695,True,1
Betul Fort,"Canaguinim, Goa, India",3.9,1499.0,ChIJobqioGVMvjsRBDAPLJzsyTk,"tourist_attraction, point_of_interest, establishment",Salcete (Margao),15.1409989,73.9506808,,,"['fort', 'historical']",27.825970643958474,0,1,0.725,0.7250931249999999,0.7071930403117047,0.7179330911246818,0.9399993161572475,0.7637591632083514,True,1
Dudhsagar Falls,"Sonauli, Goa 403410, India",4.6,30982.0,ChIJQ4srFBimvzsRJQI7KOdIlP0,"tourist_attraction, point_of_interest, establishment,waterfall,nature,adventure,trek",Sanguem,15.3144375,74.3143073,,,"['adventure', 'nature']",27.956433284907636,0,1,0.8999999999999999,0.8999988602620792,1.0,0.9399993161572475,0.9399993161572475,1.0,True,1
Dudhsagar Trek,"Road, Mollem, Kolem, Goa 403410, India",4.7,12.0,ChIJxWknsiAHvzsRJLQ-TAVWxjY,"tourist_attraction, point_of_interest, establishment",Dharbandora,15.3358363,74.2434258,,,['adventure'],28.01877843899214,0,1,0.925,0.9203605769230769,0.24803222634323982,0.651429236691142,0.9399993161572475,0.6930103304268446,True,1
Official Dudhsagar Jeep Safari & Trek Booking,"Kulem Station FOB, Kolem, Goa 403410, India",4.4,1063.0,ChIJA1ETXxQHvzsRU7Nrm2PWCiA,"tourist_attraction, park, point_of_interest, establishment,waterfall,nature",Dharbandora,15.3363533,74.244316,,flag,"['adventure', 'nature']",28.0902461835631,0,1,0.8500000000000001,0.8500138040413534,0.6739831692867861,0.7796015501395265,0.9399993161572475,0.8293639545681446,True,1
Dudhsagar waterfall parking,"86PV+WXW, Kolem, Goa 403410, India",4.4,100.0,ChIJ6ZwNrMUHvzsRrs9Nnx4i9AU,"tourist_attraction, point_of_interest, establishment",Sanguem,15.3372386,74.2449805,,,['nature'],28.198601792888976,0,1,0.8500000000000001,0.8501454207920793,0.44628507510471066,0.6886012825171318,0.9399993161572475,0.7325550887974682,True,1
Dudhsagar Waterfall Trip - Goa,"Dudhsagar falls, Kolem, Goa 403410, India",4.4,256.0,ChIJo-qKFB7qvzsRoiU9cAzy4Qw,"tourist_attraction, point_of_interest, establishment",Sanguem,15.3379486,74.2462197,,,['nature'],28.297687972094188,0,1,0.8500000000000001,0.8500571498054476,0.5365991696797973,0.7246739577551874,0.9399993161572475,0.7709303031386041,True,1
Betul Sunset View Point,"Betul, Sunset View Road, Canaguinim, Kital, Goa 403703, India",4.6,179.0,ChIJ87fxBUVNvjsRn8s2mcO3RdU,"tourist_attraction, point_of_interest, establishment",Salcete (Margao),15.1310793,73.9384004,,,"['photography', 'scenic']",28.90676789922918,0,1,0.8999999999999999,0.8998038194444443,0.5021622143469526,0.7407471774054476,0.9399993161572475,0.7880294854188298,True,1
Bhagwan Mahavir Wildlife Sanctuary,"87MQ+H89, Goa 403410, India",4.4,3391.0,ChIJVVVVVZUGvzsRsTuQyBI93Ro,"tourist_attraction, park, point_of_interest, establishment,nature,wildlife",Quepem,15.3339015,74.2883536,,,['nature'],28.939283485218294,0,1,0.8500000000000001,0.8500043300412737,0.7860963675373726,0.8244411450397133,0.9399993161572475,0.8770656859731129,True,1
