name,address,rating,user_ratings_total,place_id,types,taluka,latitude,longitude,Unnamed: 9,Unnamed: 10,categories,anchor_distance_km,cluster,day,normalized_google_rating,weighted_rating,quantity_factor,popularity_score,cluster_max_popularity,normalized_popularity,within_anchor_radius,day_rank
Bhati waterfall,"663C+3W3, Bati, Goa 403704, India",5.0,1.0,ChIJCQ9zHwD_vjsR610iVIUUfvI,"park, point_of_interest, establishment",Sanguem,15.2026283,74.2223068,,,['nature'],13.034495352239778,0,1,1.0,0.9412499999999999,0.0674705752978301,0.5917382301191321,0.9399996373056995,0.629508998338785,True,0
Shree Vimleshwar Temple,"5474+PQX, Main Road, Rivona, Goa 403705, India",4.7,582.0,ChIJl6T5zxRTvjsRbjYb7Ha3P7I,"hindu_temple, tourist_attraction, place_of_worship, point_of_interest, establishment",Canacona,15.1643649,74.1069956,,,['religious'],13.500060200707914,0,1,0.925,0.9249271012006861,0.6198759298425496,0.8029066326574315,0.9399996373056995,0.8541563217607033,True,1
Shree Sateri Pachapuris Temple,"6662+7FW, Salavli, Goa 403704, India",5.0,6.0,ChIJg7JfPPFVvjsROW1w24_OvtU,"hindu_temple, place_of_worship, point_of_interest, establishment",Sanguem,15.210737,74.201206,,,['religious'],13.7855082794852,0,1,1.0,0.9832142857142856,0.18941385165642152,0.6656941120911399,0.9399996373056995,0.7081854988787065,True,1
SHRI PAIKDEV TEMPLE,"ZANODEM, Sanguem, Zanoda, Goa 403704, India",4.5,6.0,ChIJpV4WArhUvjsRhpiOMrsPhrw,"hindu_temple, place_of_worship, point_of_interest, establishment",Sanguem,15.1986869,74.1470225,,,['religious'],13.852126499087282,0,1,0.875,0.8760714285714285,0.18941385165642152,0.6014083978054257,0.9399996373056995,0.6397964147403604,True,1
Gokuldem Waterfall,"Barsen, Gokole, Goa 403703, India",4.5,14.0,ChIJcY7l1PJRvjsRkuzob7cwb_I,"park, point_of_interest, establishment, relaxation",Canacona,15.067987,74.0759749,,,"['nature', 'nightlife', 'relaxation']",13.875677603396712,0,1,0.875,0.8755,0.2636001561113889,0.6307400624445556,0.9399996373056995,0.6710003253324992,True,1
Salaulim dam,"655G+G78, Shelpe",4.4,145.0,ChIJe_8OUG1VvjsRTK5ENpqAYo8,"tourist_attraction, point_of_interest, establishment",Canacona,15.2099027,74.176029,,,['nature'],14.009335201183115,0,1,0.8500000000000001,0.8502226027397262,0.4851015992781023,0.7041742013550767,0.9399996373056995,0.7491217798481666,True,1
Salaulim Dam,"Kurdi, Ugem, Goa 403704, India",4.5,3800.0,ChIJh8I8MtOqvzsRWk2SI90FBNg,"tourist_attraction, point_of_interest, establishment,viewpoint,nature",Salcete (Margao),15.2127043,74.1788677,,,"['nature', 'scenic']",14.253725103985794,0,1,0.875,0.8750019731649565,0.8023711000521343,0.8459496239198276,0.9399996373056995,0.899946755665305,True,1
Salaulim Garden,"657H+RFG, Kurdi, Ugem, Goa 403704, India",4.5,1202.0,ChIJGY0GDtOqvzsR_js0g5JUddQ,"tourist_attraction, park, point_of_interest, establishment",Salcete (Margao),15.2145589,74.1786934,,,['nature'],14.459814439612956,0,1,0.875,0.8750062344139651,0.6903873266461259,0.8011586713068295,0.9399996373056995,0.8522967876915072,True,1
Nadal Waterfall,"Maina, Quepem, Padi, Goa 403703, India",4.0,10.0,ChIJfaj4pQNRvjsRpfqbdqAZXzI,"tourist_attraction, establishment, waterfall, adventure, trekking, scenic, peaceful",Canacona,15.0978161,74.064417,,,"['adventure', 'nature', 'peaceful', 'scenic']",15.007435790499741,0,1,0.75,0.7620454545454545,0.23340984151296204,0.5505912093324574,0.9399996373056995,0.5857355550802179,True,1
Cotigao Wildlife Sanctuary Office,"X4M5+VCR, Hatipal,Partgal, Poingunin, Canacona, Goa 403702, India",4.2,326.0,ChIJ_____8NavjsRWcgl0iw89vk,"park, point_of_interest, establishment, wildlife sanctuary, wildlife exploration, trekking, scenic, peaceful, bird watching",Sanguem,14.984734,74.1085117,,,"['adventure', 'nature', 'peaceful', 'scenic']",15.275374387337413,0,1,0.8,0.8002522935779817,0.5635916218635989,0.7055880248922286,0.9399996373056995,0.7506258480212187,True,1
Satteri Devi Temple,"647X+G6, Sanguem, Goa 403704, India",5.0,2.0,ChIJlQL8cUGrvzsRe1JLBCVM950,"hindu_temple, place_of_worship, point_of_interest, establishment",Sanguem,15.2137876,74.1481576,,,['religious'],15.330238901557928,0,1,1.0,0.9608333333333332,0.10693833174914388,0.6192753326996574,0.9399996373056995,0.6588037996213199,True,1
"Mallikarjun Temple, Canacona","near mallikarjun temple, Shristhal, Canacona, Mallikarjun, Goa 403702, India",4.8,1379.0,ChIJEQrqGoBavjsRh6M68FG3VnU,"hindu_temple, place_of_worship, point_of_interest, establishment",Canacona,15.0227158,74.0763636,,,"['religious', 'shopping']",15.421273281812056,0,1,0.95,0.9499510869565218,0.7037486342775934,0.8514701058849504,0.9399996373056995,0.9058196110857029,True,1
Cotigao Wildlife Sanctuary Entrance,"X4Q2+86M, NH 66, Poingunin, Goa 403702, India",4.1,156.0,ChIJV9uvKjZavjsRpRXYOZ88X3M,"zoo, park, point_of_interest, establishment",Sanguem,14.9883475,74.1005476,,,['nature'],15.575634699228484,0,1,0.7749999999999999,0.7756847133757961,0.4921722585072063,0.6622797314283602,0.9399996373056995,0.7045531776231725,True,1
