name,address,rating,user_ratings_total,place_id,types,taluka,latitude,longitude,Unnamed: 9,Unnamed: 10,categories,anchor_distance_km,cluster,day,normalized_google_rating,weighted_rating,quantity_factor,popularity_score,cluster_max_popularity,normalized_popularity,within_anchor_radius,day_rank
"Museum of Goa, MOG","79, Estate, Pilerne Industrial Estates, Pilern, Goa 403511, India",4.0,8746.0,ChIJsz_IVjXAvzsRKB-KUSodijs,"cafe, art_gallery, food, museum, point_of_interest, establishment",Tiswadi (Panaji),15.525516,73.795263,,,"['food', 'historical']",8.950454457449581,0,1,0.75,0.7500128264835411,0.7840359081699491,0.7636220591581042,0.8800003501412251,0.8677519946844974,True,0
AAA All About Alcohol Museum,"Main Road, Candolim, Goa 403515, India",4.6,2010.0,ChIJ2dIMYnfBvzsREa3ZA2AyWyw,"museum, point_of_interest, establishment",Bardez (Mapusa),15.5095841,73.7693015,,,['historical'],9.018240926418855,0,1,0.8999999999999999,0.8999812000256258,0.6570487680296399,0.8028082272272314,0.8800003501412251,0.9122817134088576,True,1
Shree Mahalasa Devi Temple,"Madhalamaj, Mandre, Pedne, Goa, Keri to Mapusa, Goa 403527, India",4.8,227.0,ChIJ34cZKPLuvzsRd1RrGTiogQw,"hindu_temple, place_of_worship, point_of_interest, establishment",Bardez (Mapusa),15.6691965,73.7184572,,,['religious'],9.583269192476497,0,1,0.95,0.9496148826821655,0.4689933175778272,0.7573662566404301,0.8800003501412251,0.8606431310156702,True,1
Amma Shri Shanta Durga Temple,"GQ6M+2X9, Near Nerul Hospital, Nerul, Goa",4.4,42.0,ChIJY9P2Ca_BvzsRhSOOl8q2GdQ,"hindu_temple, tourist_attraction, place_of_worship, point_of_interest, establishment",Tiswadi (Panaji),15.5100283,73.7849891,,,['religious'],9.699008240194237,0,1,0.8500000000000001,0.8502835639891568,0.3248969288169871,0.6401289099202889,0.8800003501412251,0.727418926387426,True,1
Mandrem Beach,"MP95+VR7, Near Chopdem, Mandrem, Goa 403527, India",4.6,6875.0,ChIJ0YVAXejuvzsRwE5XWdcQbO4,"tourist_attraction, point_of_interest, establishment, beach, relaxation, scenic, photography, peaceful",Bardez (Mapusa),15.6696522,73.7095472,,,"['beaches', 'peaceful', 'photography', 'relaxation', 'scenic']",9.898776059152667,0,1,0.8999999999999999,0.8999945016363485,0.7632462286607051,0.8452951924460912,0.8800003501412251,0.9605623364927476,True,1
Sinquerim Beach,"FQX8+MXF, Sinquerim, Candolim, Goa 403519, India",4.6,481.0,ChIJM5xmqdrBvzsR0UQsbvbKJDA,"tourist_attraction, point_of_interest, establishment,beach",Bardez (Mapusa),15.4991764,73.7674326,,,['beaches'],10.047136085157844,0,1,0.8999999999999999,0.899921562762518,0.5336581429642696,0.7534161948432185,0.8800003501412251,0.8561544262139305,True,1
Our Lady of Remédios Church,"GQ4P+RMF, Nerul - Reis Margos Rd, Near Tinto Bardez, Nerul, Goa, Nerul, Goa 403114, India",4.6,99.0,ChIJC8mx4KjBvzsR9hqjcAw6c3U,"church, place_of_worship, point_of_interest, establishment",Tiswadi (Panaji),15.5070511,73.7866694,,,"['nightlife', 'religious']",10.075696283721019,0,1,0.8999999999999999,0.8996219325153373,0.39780006489529346,0.6988931854673197,0.8800003501412251,0.7941964856663514,True,1
Sinquerim Fort,"FQX8+9GH, Candolim, Goa, India",4.5,18599.0,ChIJ2SyWw3XBvzsREmaXkve8H78,"tourist_attraction, point_of_interest, establishment,fort,historical",Bardez (Mapusa),15.4984466,73.7663559,,,"['fort', 'historical']",10.091069485204825,0,1,0.875,0.8749993114651363,0.8492062631405913,0.8646820921353183,0.8800003501412251,0.982592895555725,True,1
Sinquerim Fort view Point,"FQX7+2XG, Below Taj holiday village Sinquerim, beach, Aguada Fort Area, Candolim, Goa 403515, India",4.6,308.0,ChIJTYvlxXfBvzsRoLIpck2UZqE,"tourist_attraction, point_of_interest, establishment",Bardez (Mapusa),15.4975629,73.7649449,,,"['beaches', 'fort', 'historical', 'scenic']",10.14353717675742,0,1,0.8999999999999999,0.899877648063216,0.49525282235089274,0.7380277177782867,0.8800003501412251,0.838667527416149,True,1
Kalimata Temple,"GQ4V+J2G Kalimata Temple, Nerul, Goa 403114, India",5.0,43.0,ChIJod_l4qPBvzsREhr_w9NrCyM,"hindu_temple, place_of_worship, point_of_interest, establishment",Tiswadi (Panaji),15.5066216,73.7926002,,,['religious'],10.449199311181916,0,1,1.0,0.9968680284439487,0.3268827906792745,0.728873933338079,0.8800003501412251,0.8282655037820237,True,1
Shiv Mandir Nerul bardez Goa,"FQXH+PV4, Nerul, Goa 403511, India",4.4,71.0,ChIJD19zsQnBvzsRkwlYchtno6o,"hindu_temple, place_of_worship, point_of_interest, establishment",Tiswadi (Panaji),15.4992504,73.7796943,,,"['nightlife', 'religious']",10.506582626635364,0,1,0.8500000000000001,0.8501693507157465,0.369423493806248,0.6578710079519471,0.8800003501412251,0.7475803934014003,True,1
Igreja de São João Batista,"Volvaddo, Pilern, Goa 403114, India",4.6,133.0,ChIJ69_9yUbAvzsR1rQMB3dM1lc,"church, place_of_worship, point_of_interest, establishment",Tiswadi (Panaji),15.5220518,73.8125195,,,['religious'],10.531516967907947,0,1,0.8999999999999999,0.8997178600860727,0.42308121341430527,0.7090632014173657,0.8800003501412251,0.8057533173749,True,1
Kaurati's Caves,"Unnamed Road, Aguada Fort Area, Candolim, Goa 403515, India",4.5,1204.0,ChIJnRktZeLBvzsR0FO3uIXpDqk,"tourist_attraction, point_of_interest, establishment",Bardez (Mapusa),15.4942477,73.7666941,,,"['fort', 'historical']",10.549331997787002,0,1,0.875,0.8749893719929741,0.6128084236013547,0.7701169926363264,0.8800003501412251,0.8751325979730982,True,1
