name,address,rating,user_ratings_total,place_id,types,taluka,latitude,longitude,Unnamed: 9,Unnamed: 10,categories,anchor_distance_km,cluster,day,normalized_google_rating,weighted_rating,quantity_factor,popularity_score,cluster_max_popularity,normalized_popularity,within_anchor_radius,day_rank
St. Jerome Church,"HRQ9+Q9R, Market Rd, Angod, Mapusa, Goa 403507, India",4.6,1209.0,ChIJ6W_gAd7qvzsRJwDxJqg3318,"tourist_attraction, church, place_of_worship, point_of_interest, establishment,religious,historical",Bardez (Mapusa),15.589499,73.818388,,,"['food', 'historical', 'religious', 'shopping']",8.46686790000491,0,1,0.8999999999999999,0.8999429620186389,0.6131661101850725,0.7852322212852123,0.8800001744367814,0.8923091654928108,True,0
"Our Lady of Good Hope Church, Candolim","GQ9G+5WW, Candolim, Goa 403511, India",4.5,655.0,ChIJj8rE_7vBvzsRoMEWGV1J-Nc,"tourist_attraction, church, place_of_worship, point_of_interest, establishment,religious,historical",Tiswadi (Panaji),15.5179909,73.777324,,,"['historical', 'religious']",8.524807154853995,0,1,0.875,0.8749329025038922,0.5602822650537195,0.7490726475238231,0.8800001744367814,0.8512187489090504,True,1
Francoise beach,"GQ67+JV3, Candolim, Goa 403515, India",4.5,220.0,ChIJQfjVvdbBvzsRMto7GRPLuBA,"tourist_attraction, point_of_interest, establishment",Bardez (Mapusa),15.5114419,73.7646301,,,['beaches'],8.656630942768079,0,1,0.875,0.8748008327717339,0.46629969930598075,0.7114003793854327,0.8800001744367814,0.8084093617830745,True,1
"Museum of Goa, MOG","79, Estate, Pilerne Industrial Estates, Pilern, Goa 403511, India",4.0,8746.0,ChIJsz_IVjXAvzsRKB-KUSodijs,"cafe, art_gallery, food, museum, point_of_interest, establishment",Tiswadi (Panaji),15.525516,73.795263,,,"['food', 'historical']",8.950454457449581,0,1,0.75,0.7500092584934895,0.7840359081699491,0.7636199183640733,0.8800001744367814,0.8677497352234119,True,1
AAA All About Alcohol Museum,"Main Road, Candolim, Goa 403515, India",4.6,2010.0,ChIJ2dIMYnfBvzsREa3ZA2AyWyw,"museum, point_of_interest, establishment",Bardez (Mapusa),15.5095841,73.7693015,,,['historical'],9.018240926418855,0,1,0.8999999999999999,0.899965680777003,0.6570487680296399,0.8027989156780577,0.8800001744367814,0.912271314254984,True,1
Mandrem Beach,"MP95+VR7, Near Chopdem, Mandrem, Goa 403527, India",4.6,6875.0,ChIJ0YVAXejuvzsRwE5XWdcQbO4,"tourist_attraction, point_of_interest, establishment, beach, relaxation, scenic, photography, peaceful",Bardez (Mapusa),15.6696522,73.7095472,,,"['beaches', 'peaceful', 'photography', 'relaxation', 'scenic']",9.898776059152667,0,1,0.8999999999999999,0.8999899627752402,0.7632462286607051,0.8452924691294261,0.8800001744367814,0.960559433605148,True,1
Sinquerim Beach,"FQX8+MXF, Sinquerim, Candolim, Goa 403519, India",4.6,481.0,ChIJM5xmqdrBvzsR0UQsbvbKJDA,"tourist_attraction, point_of_interest, establishment,beach",Bardez (Mapusa),15.4991764,73.7674326,,,['beaches'],10.047136085157844,0,1,0.8999999999999999,0.8998568133662929,0.5336581429642696,0.7533773452054835,0.8800001744367814,0.8561104498503774,True,1
Sinquerim Fort,"FQX8+9GH, Candolim, Goa, India",4.5,18599.0,ChIJ2SyWw3XBvzsREmaXkve8H78,"tourist_attraction, point_of_interest, establishment,fort,historical",Bardez (Mapusa),15.4984466,73.7663559,,,"['fort', 'historical']",10.091069485204825,0,1,0.875,0.874997633550675,0.8492062631405913,0.8646810853866415,0.8800001744367814,0.9825919477118917,True,1
Sinquerim Fort view Point,"FQX7+2XG, Below Taj holiday village Sinquerim, beach, Aguada Fort Area, Candolim, Goa 403515, India",4.6,308.0,ChIJTYvlxXfBvzsRoLIpck2UZqE,"tourist_attraction, point_of_interest, establishment",Bardez (Mapusa),15.4975629,73.7649449,,,"['beaches', 'fort', 'historical', 'scenic']",10.14353717675742,0,1,0.8999999999999999,0.8997766473869035,0.49525282235089274,0.7379671173724992,0.8800001744367814,0.8385988307841117,True,1
Kaurati's Caves,"Unnamed Road, Aguada Fort Area, Candolim, Goa 403515, India",4.5,1204.0,ChIJnRktZeLBvzsR0FO3uIXpDqk,"tourist_attraction, point_of_interest, establishment",Bardez (Mapusa),15.4942477,73.7666941,,,"['fort', 'historical']",10.549331997787002,0,1,0.875,0.874963472234484,0.6128084236013547,0.7701014527812323,0.8800001744367814,0.8751151137829188,True,1
