name,address,rating,user_ratings_total,place_id,types,taluka,latitude,longitude,Unnamed: 9,Unnamed: 10,categories,anchor_distance_km,cluster,day,normalized_google_rating,weighted_rating,quantity_factor,popularity_score,cluster_max_popularity,normalized_popularity,within_anchor_radius,day_rank
Ruins of Lakshmi Narayana Swamy Temple,"452V+P96, Vichundrem, Digali, Goa 403704, India",4.6,21.0,ChIJl5gSxGpWvjsRoE1V_M81zJk,"hindu_temple, place_of_worship, point_of_interest, establishment",Sanguem,15.1017751,74.1933999,,,"['historical', 'religious']",1.983444271508438,0,1,0.8999999999999999,0.8984882305194805,0.37498910016978726,0.6890885783796031,0.9249986963017252,0.7449616752268692,True,0
Netravali Wildlife Sanctuary,"36MJ+FR7, Unnamed Road, Neturlim, Netravli, Goa 403704, India",4.5,664.0,ChIJrV85rh75vjsRUHVODTEwKkY,"park, point_of_interest, establishment, wildlife sanctuary, wildlife exploration, trekking, scenic, peaceful",Ponda,15.0836711,74.2320539,,,"['adventure', 'nature', 'peaceful', 'scenic']",3.05316299242835,0,1,0.875,0.8749875805585392,0.7885201612235002,0.8404006128245236,0.9249986963017252,0.9085424835565319,True,1
Savri Waterfall Parking,"368M+2M, Neturlim, Netravli, Goa 403704, India",4.4,54.0,ChIJjxWfjs35vjsRqyfLAyrfN1I,"tourist_attraction, point_of_interest, establishment, scenic, short visit",Sanguem,15.0666853,74.2341689,,,"['nature', 'scenic']",3.9671710821637816,0,1,0.8500000000000001,0.8503043831168832,0.4861486983390379,0.704642109205745,0.9249986963017252,0.761776326845652,True,1
Neturlem Waterfall (Savri),"366J+FQM, Neturlim, Netravli, Goa 403704, India",4.7,1142.0,ChIJ9WBFt234vjsR5aNM4Prx2cA,"tourist_attraction, park, point_of_interest, establishment,waterfall,nature",Dharbandora,15.0612063,74.2319242,,,['nature'],4.166253047693622,0,1,0.925,0.9249490298087739,0.8542272270840846,0.8966603087188982,0.9249986963017252,0.9693638621371816,True,1
Mountain Top Ambe Forest Checkpost,"3578+7PG, Unnamed Road, Mangal, Goa 403704, India",3.8,12.0,ChIJUyqTjzRXvjsRStsomulWLSs,"tourist_attraction, point_of_interest, establishment",Sanguem,15.0631936,74.1668166,,,['nature'],4.778571030819686,0,1,0.7,0.7128262362637363,0.31116623794363646,0.5521622369356963,0.9249986963017252,0.5969329893580592,True,1
Old Bridge Curpem,"45HQ+8HX, Kurpe",4.7,6.0,ChIJkW4juaNVvjsR4GJEu-QDzhM,"tourist_attraction, point_of_interest, establishment",Canacona,15.1283741,74.188976,,,['historical'],4.8635414377339,0,1,0.925,0.9166772959183673,0.23606763957988305,0.6444334333829735,0.9249986963017252,0.6966857747578553,True,1
Hidden Waterfall,"25XG+WVJ, Mangal, Goa 403702, India",5.0,1.0,ChIJQY6pAgBXvjsRZFGL41GIuXo,"park, point_of_interest, establishment",Dharbandora,15.0498253,74.1771558,,,['nature'],5.0339905844701045,0,1,1.0,0.9333705357142856,0.08408898986198055,0.5936579173733636,0.9249986963017252,0.6417932476520144,True,1
Aqueous Spice Farm,"Tilamol – Rivona – Colomb – Curdi (Zambaulim), Kurpe, Goa 403704, India",4.7,31.0,ChIJmf2RnZdVvjsRSUKaYz2KxGE,"park, point_of_interest, establishment",Sanguem,15.1241694,74.1742121,,,"['food', 'nature']",5.210002962121656,0,1,0.925,0.9231794084821429,0.4204449493099028,0.7220856248132468,0.9249986963017252,0.7806342081348294,True,1
Ravna Dongar,"26R9+QRM, Cotigao, Goa 403704, India",4.4,7.0,ChIJ2dEzQ0P5vjsRtr_GXnNtIvo,"park, point_of_interest, establishment",Dharbandora,15.0419619,74.2195388,,,['nature'],5.290008420107695,0,1,0.8500000000000001,0.8520926339285715,0.25226696958594164,0.6121623681915196,0.9249986963017252,0.6617980875422104,True,1
Bharsa Waterfall,"3566+62Q, Unnamed Road, Gaundongren, Goa 403704, India",4.4,10.0,ChIJrQVFRDdXvjsRmCeuMjk2IGg,"tourist_attraction, point_of_interest, establishment, trekking, waterfall, scenic, moderately crowded",Sanguem,15.0605999,74.1601111,,,"['adventure', 'nature', 'scenic']",5.539823158133638,0,1,0.8500000000000001,0.8515219155844157,0.29090011030780666,0.6272731934737721,0.9249986963017252,0.6781341378984624,True,1
