name,address,rating,user_ratings_total,place_id,types,taluka,latitude,longitude,,
Fort Aguada,"Fort Aguada Rd, Aguada Fort Area, Candolim, Goa 403515, India",4.2,106573,ChIJa72MxnXBvzsRHHtpszB2g6M,"tourist_attraction, point_of_interest, establishment,fort,historical",Bardez (Mapusa),15.4922519,73.7737462,,
Dudhsagar Falls,"Sonauli, Goa 403410, India",4.6,30982,ChIJQ4srFBimvzsRJQI7KOdIlP0,"tourist_attraction, point_of_interest, establishment,waterfall,nature,adventure,trek",Sanguem,15.3144375,74.3143073,,
Velsao Beach,"9V3M+QG9, Consua, Goa 403712, India",4.3,4971,ChIJY6h2EJ-3vzsRB_haiJ7F51w,"tourist_attraction, point_of_interest, establishment,beach",Mormugao (Vasco),15.3544232,73.8838637,,
Cabo de Rama Fort,"3WQC+GJ8, Taluka Cabo da Rama, Canacona, Goa 403702, India",4.4,15290,ChIJy1w3MFFJvjsRW9cTbAchLdw,"tourist_attraction, point_of_interest, establishment,fort,historical",Canacona,15.0887849,73.9215933,,
Harvalem Waterfalls,"Rudreshwar Colony, Kudne, Goa 403505, India",4.3,9127,ChIJVUbAVEy9vzsRS6uKBv4zNmI,"tourist_attraction, point_of_interest, establishment,waterfall",Sattari (Valpoi),15.5507728,74.0264703,,
Chapora Fort,"Chapora Fort Trail, Vagator, Anjuna, Goa 403509, India",4.2,24749,ChIJ56FVYsbpvzsRB6GFWwDiCzc,"point_of_interest, establishment,fort,historical",Bardez (Mapusa),15.6046375,73.7369631,,
Reis Magos Fort,"Nerul - Reis Margos Rd, beside three kings church, Bardez, Verem, Nerul, Goa 403109, India",4.4,11097,ChIJYeGT3PDAvzsRS8Ckp0KjgGs,"point_of_interest, establishment,fort,historical",Tiswadi (Panaji),15.4964204,73.8091839,,
Basilica of Bom Jesus,"Old Goa Road, Old Goa, Goa 403402, India",4.5,66043,ChIJiQKbufK-vzsRuKcVn2hWgB4,"tourist_attraction, church, place_of_worship, point_of_interest, establishment,historical,religious",Salcete (Margao),15.5008429,73.9114097,,
Kesarval Spring Verna Waterfall,"9WJH+WGF, Quelossim, Goa 403722, India",3.7,2166,ChIJ59FcxPu5vzsRa3eXw7AkQaw,"tourist_attraction, park, point_of_interest, establishment,waterfall,nature",Salcete (Margao),15.3823119,73.928801,,
Se Cathedral,"Old Goa, Goa 403402, India",4.5,6710,ChIJE0a0LfO-vzsR8JyKJEBHTMk,"tourist_attraction, church, place_of_worship, point_of_interest, establishment,religious,historical",Salcete (Margao),15.5035996,73.9122204,,
Sinquerim Fort,"FQX8+9GH, Candolim, Goa, India",4.5,18599,ChIJ2SyWw3XBvzsREmaXkve8H78,"tourist_attraction, point_of_interest, establishment,fort,historical",Bardez (Mapusa),15.4984466,73.7663559,,
"Palolem Beach, GOA","225G+83J, Mohanbagh, Palolem, Canacona, Goa 403702, India",4.6,828,ChIJr7GCQHpbvjsRTjE2wcXpE_I,"tourist_attraction, point_of_interest, establishment,beach",Canacona,15.0083261,74.0251467,,
Dona Paula View Point,"Dona Paula Jetty, Road, Dona Paula, Panaji, Goa 403004, India",4.1,47583,ChIJtW8AjS7HvzsRnnAZoefYMAg,"tourist_attraction, point_of_interest, establishment,viewpoint,sunset",Tiswadi (Panaji),15.4506125,73.8029961,,
Bamanbudo Waterfall,"3565+2RC, MDR34, Gaundongren, Goa 403704, India",4.4,1121,ChIJ6xFV8hFXvjsRKITFFevXu9A,"tourist_attraction, point_of_interest, establishment,waterfall",Sanguem,15.0600515,74.1595025,,
Bhagwan Mahavir Wildlife Sanctuary,"87MQ+H89, Goa 403410, India",4.4,3391,ChIJVVVVVZUGvzsRsTuQyBI93Ro,"tourist_attraction, park, point_of_interest, establishment,nature,wildlife",Quepem,15.3339015,74.2883536,,
St. Augustine Tower,"Church of St. Augustine Ruins, Old Goa, Goa 403402, India",4.5,3868,ChIJ7YKn9fG-vzsRqG6gJbaQxPs,"tourist_attraction, point_of_interest, establishment,viewpoint,historical,religious",Salcete (Margao),15.5005094,73.9064616,,
Butterfly Beach Goa,"2292+RMJ, Butterfly Beach Rd, Devalkajjan, Goa 403702, India",4.5,2000,ChIJe86NrwdPvjsRFvqcDwHvsqk,"tourist_attraction, point_of_interest, establishment,beach,nature",Canacona,15.0195801,74.001638,,
Candolim Beach,"Candolim Beach Rd, Candolim, Goa 403515, India",4.5,42536,ChIJv9F7IjzBvzsR70r6HmyML_o,"tourist_attraction, point_of_interest, establishment,beach",Bardez (Mapusa),15.5179749,73.7626122,,
Honeymoon beach,"2XCX+P4, Agonda, Devalkajjan, Goa 403702, India",4.4,463,ChIJAaID1HZPvjsRpG_rt1HF_vo,"tourist_attraction, point_of_interest, establishment,beach",Canacona,15.0218547,73.9977915,,
