name,address,rating,user_ratings_total,place_id,types,taluka,latitude,longitude,Unnamed: 9,Unnamed: 10,categories,cluster,day,normalized_google_rating,weighted_rating,quantity_factor,popularity_score,cluster_max_popularity,normalized_popularity
Fort Aguada,"Fort Aguada Rd, Aguada Fort Area, Candolim, Goa 403515, India",4.2,106573.0,ChIJa72MxnXBvzsRHHtpszB2g6M,"tourist_attraction, point_of_interest, establishment,fort,historical",Bardez (Mapusa),15.4922519,73.7737462,,,"['adventure', 'historical']",0,1,0.8,0.8000003923128046,1.0,0.8800002353876828,0.9084657038498933,0.9686664357921497
Dudhsagar Falls,"Sonauli, Goa 403410, India",4.6,30982.0,ChIJQ4srFBimvzsRJQI7KOdIlP0,"tourist_attraction, point_of_interest, establishment,waterfall,nature,adventure,trek",Sanguem,15.3144375,74.3143073,,,"['adventure', 'nature']",2,3,0.8999999999999999,0.899998121884415,1.0,0.939998873130649,0.939998873130649,1.0
Velsao Beach,"9V3M+QG9, Consua, Goa 403712, India",4.3,4971.0,ChIJY6h2EJ-3vzsRB_haiJ7F51w,"tourist_attraction, point_of_interest, establishment,beach",Mormugao (Vasco),15.3544232,73.8838637,,,['beaches'],3,4,0.825,0.82500338100258,0.9104547488458385,0.8591839281398834,0.9195891177403319,0.9343128486025589
Cabo de Rama Fort,"3WQC+GJ8, Taluka Cabo da Rama, Canacona, Goa 403702, India",4.4,15290.0,ChIJy1w3MFFJvjsRW9cTbAchLdw,"tourist_attraction, point_of_interest, establishment,fort,historical",Canacona,15.0887849,73.9215933,,,"['adventure', 'historical']",1,2,0.8500000000000001,0.8499994644133693,0.9378676568702929,0.8851467413961387,0.9399987939967839,0.9416466776862346
Harvalem Waterfalls,"Rudreshwar Colony, Kudne, Goa 403505, India",4.3,9127.0,ChIJVUbAVEy9vzsRS6uKBv4zNmI,"tourist_attraction, point_of_interest, establishment,waterfall",Sattari (Valpoi),15.5507728,74.0264703,,,['nature'],2,3,0.825,0.8250018416241047,0.8818229248192505,0.847730274902163,0.939998873130649,0.9018417991064318
Chapora Fort,"Chapora Fort Trail, Vagator, Anjuna, Goa 403509, India",4.2,24749.0,ChIJ56FVYsbpvzsRB6GFWwDiCzc,"point_of_interest, establishment,fort,historical",Bardez (Mapusa),15.6046375,73.7369631,,,"['adventure', 'historical']",0,1,0.8,0.8000016893068618,0.873882250491497,0.829553913780716,0.9084657038498933,0.9131372932024123
Basilica of Bom Jesus,"Old Goa Road, Old Goa, Goa 403402, India",4.5,66043.0,ChIJiQKbufK-vzsRuKcVn2hWgB4,"tourist_attraction, church, place_of_worship, point_of_interest, establishment,historical,religious",Salcete (Margao),15.5008429,73.9114097,,,"['historical', 'religious']",0,1,0.875,0.8749994974614625,0.9586650134325395,0.9084657038498933,0.9084657038498933,1.0
Kesarval Spring Verna Waterfall,"9WJH+WGF, Quelossim, Goa 403722, India",3.7,2166.0,ChIJ59FcxPu5vzsRa3eXw7AkQaw,"tourist_attraction, park, point_of_interest, establishment,waterfall,nature",Salcete (Margao),15.3823119,73.928801,,,['nature'],3,4,0.675,0.6750769775472208,0.8216212683516672,0.7336946938689994,0.9195891177403319,0.7978505614245163
Se Cathedral,"Old Goa, Goa 403402, India",4.5,6710.0,ChIJE0a0LfO-vzsR8JyKJEBHTMk,"tourist_attraction, church, place_of_worship, point_of_interest, establishment,religious,historical",Salcete (Margao),15.5035996,73.9122204,,,"['historical', 'religious']",0,1,0.875,0.8749950544397,0.7611481059708008,0.8294562750521404,0.9084657038498933,0.9130298166866101
Sinquerim Fort,"FQX8+9GH, Candolim, Goa, India",4.5,18599.0,ChIJ2SyWw3XBvzsREmaXkve8H78,"tourist_attraction, point_of_interest, establishment,fort,historical",Bardez (Mapusa),15.4984466,73.7663559,,,"['adventure', 'historical']",0,1,0.875,0.874998215609937,0.8492062631405913,0.8646814346221987,0.9084657038498933,0.9518041583274461
"Palolem Beach, GOA","225G+83J, Mohanbagh, Palolem, Canacona, Goa 403702, India",4.6,828.0,ChIJr7GCQHpbvjsRTjE2wcXpE_I,"tourist_attraction, point_of_interest, establishment,beach",Canacona,15.0083261,74.0251467,,,['beaches'],1,2,0.8999999999999999,0.8999298074123373,0.6541426304710167,0.801614936635809,0.9399987939967839,0.8527829415901906
Dona Paula View Point,"Dona Paula Jetty, Road, Dona Paula, Panaji, Goa 403004, India",4.1,47583.0,ChIJtW8AjS7HvzsRnnAZoefYMAg,"tourist_attraction, point_of_interest, establishment,viewpoint,sunset",Tiswadi (Panaji),15.4506125,73.8029961,,,['beaches'],0,1,0.7749999999999999,0.7750014040506226,0.9303471340994464,0.837139696070152,0.9084657038498933,0.9214873963018348
Bamanbudo Waterfall,"3565+2RC, MDR34, Gaundongren, Goa 403704, India",4.4,1121.0,ChIJ6xFV8hFXvjsRKITFFevXu9A,"tourist_attraction, point_of_interest, establishment,waterfall",Sanguem,15.0600515,74.1595025,,,['nature'],1,2,0.8500000000000001,0.8499927008420924,0.6836022179675996,0.7834365076922953,0.9399987939967839,0.8334441625836552
Bhagwan Mahavir Wildlife Sanctuary,"87MQ+H89, Goa 403410, India",4.4,3391.0,ChIJVVVVVZUGvzsRsTuQyBI93Ro,"tourist_attraction, park, point_of_interest, establishment,nature,wildlife",Quepem,15.3339015,74.2883536,,,['nature'],2,3,0.8500000000000001,0.8499975855969423,0.7860963675373726,0.8244370983731144,0.939998873130649,0.8770617943693292
St. Augustine Tower,"Church of St. Augustine Ruins, Old Goa, Goa 403402, India",4.5,3868.0,ChIJ7YKn9fG-vzsRqG6gJbaQxPs,"tourist_attraction, point_of_interest, establishment,viewpoint,historical,religious",Salcete (Margao),15.5005094,73.9064616,,,"['historical', 'religious']",0,1,0.875,0.8749914216450834,0.7135735037506918,0.8104242544873267,0.9084657038498933,0.8920801864648419
Butterfly Beach Goa,"2292+RMJ, Butterfly Beach Rd, Devalkajjan, Goa 403702, India",4.5,2000.0,ChIJe86NrwdPvjsRFvqcDwHvsqk,"tourist_attraction, point_of_interest, establishment,beach,nature",Canacona,15.0195801,74.001638,,,"['beaches', 'nature']",1,2,0.875,0.874983413465681,0.7399164318468706,0.8209566208181568,0.9399987939967839,0.8733592277576535
