name,address,rating,user_ratings_total,place_id,types,taluka,latitude,longitude,Unnamed: 9,Unnamed: 10,categories
Yellur Fort,"Rajhunsgad Fort, Belagavi, Karnataka 590005, India",4.5,5320.0,ChIJCUZyt-tovzsR3v5buCMxljM,"tourist_attraction, point_of_interest, establishment",Sattari (Valpoi),15.7570903,74.5264991,,,"['adventure', 'historical']"
"Yashwant Gad Fort , Redi Fort","QM37+3V5, Redi, Khalchikar, Maharashtra 416517, India",4.6,638.0,ChIJ5VDKGXDwvzsRpFb4ORsxqFY,"tourist_attraction, point_of_interest, establishment",Bardez (Mapusa),15.7526466,73.6647408,,,"['adventure', 'historical']"
Belagavi Fort,"VG5F+QP5, Belgaum Fort Area, Belagavi, Karnataka 590016, India",4.4,7454.0,ChIJn3frNcdmvzsRoLnZXhQnFgI,"tourist_attraction, point_of_interest, establishment",Sattari (Valpoi),15.8593875,74.5243594,,,"['adventure', 'historical']"
Bhimgad Wildlife Sanctuary,"H87P+W4V, Karnataka 591302, India",4.4,507.0,ChIJ7d7UHr8MvzsRWrrNs0qgj-w,"park, point_of_interest, establishment",Sattari (Valpoi),15.5648707,74.3352858,,,['nature']
Pargad Fort,"Pargad, Maharashtra 416549, India",4.6,485.0,ChIJGx56ryWFvzsRkhEyqEzvqRU,"point_of_interest, establishment",Pernem,15.8169222,74.0449984,,,"['adventure', 'historical']"
Moti Lake,"WR3F+Q7Q, Moti Talao Rd, Sawantwadi, Maharashtra 416510, India",4.6,2138.0,ChIJi99tkVz1vzsRbIVD9C1fDSo,"tourist_attraction, park, point_of_interest, establishment",Pernem,15.9044684,73.8232283,,,['nature']
Shirwal dam view point,"QXCM+WF, Shirwal",4.7,23.0,ChIJQ5HO2_6PvzsRlira8xrJOeM,"tourist_attraction, point_of_interest, establishment",Pernem,15.7723298,73.9836455,,,['nature']
Yaduvanshis Agro Farms Kudase Dodamarg,"PX5X+MG, Kudase",5.0,1.0,ChIJ08tJEACRvzsRwKeejQGEjEA,"tourist_attraction, point_of_interest, establishment",Pernem,15.709146,73.998752,,,['nature']
शिरवल ( सातबाय नदीखोल),"QXVM+V72, At-shirwal, Tal Dodamarg, Dist, State",5.0,4.0,ChIJuWm-f8yPvzsRk6EMh59gQGQ,"tourist_attraction, point_of_interest, establishment",Pernem,15.7946297,73.9831443,,,['nature']
Kasainath Parvath,"MXMW+8QP, Dodamarg",4.7,239.0,ChIJnzMvRLmRvzsRPF1IYwUUu4A,"tourist_attraction, point_of_interest, establishment",Pernem,15.6833481,73.9969498,,,['nature']
Tillari Dam Gate,"P3VF+89, Konal",4.8,4.0,ChIJJZWQCQCbvzsRzq-da7WZAJI,"tourist_attraction, point_of_interest, establishment",Pernem,15.7432617,74.0734683,,,['nature']
Tilari Dam,"Q36Q+FVH, Konal",4.4,84.0,ChIJ5Q0iWZaFvzsRRTkN5dx7y9g,"tourist_attraction, point_of_interest, establishment",Pernem,15.7611752,74.0897251,,,['nature']
Kawale waterfall,"R2VC+CM, Kumbhavade",5.0,1.0,ChIJm4CxHQCJvzsR3qEfHwZeL7A,"tourist_attraction, point_of_interest, establishment",Pernem,15.8435567,74.0217165,,,['nature']
Aamini Waterfall Virdi,"M35J+FQ5, Virdi, Maharashtra 416512, India",4.6,25.0,ChIJPdenyeGbvzsRqkEF4nbitis,"tourist_attraction, point_of_interest, establishment",Sattari (Valpoi),15.65864,74.0819941,,,['nature']
Tilari Wildlife Sanctuary,"Q484+6PV Tilari Project, Aynode, Maharashtra 416549, India",4.3,9.0,ChIJk_zAwpCFvzsRL1MtHoHEyKY,"zoo, park, point_of_interest, establishment",Sattari (Valpoi),15.7656059,74.1068062,,,['nature']
Wild One wildlife field station & nature stay,"SH130, Pikule, Terwan, Maharashtra 416549, India",4.8,110.0,ChIJ49lYkvOFvzsR_3L2MI7V1tk,"campground, lodging, park, point_of_interest, establishment",Sattari (Valpoi),15.8125994,74.0963591,,,['nature']
Tilari Birding Site,"R3G5+497, Chandgad, Maharashtra 416549, India",4.9,13.0,ChIJwy1RTZ2FvzsRIBlIaeiDBMU,"tourist_attraction, park, point_of_interest, establishment",Sattari (Valpoi),15.8252931,74.0584258,,,['nature']
Mangeli Waterfalls,"M4JG+C8, khanapur",4.6,279.0,ChIJy-bhw5SdvzsRAoaKpfqS6-c,"tourist_attraction, point_of_interest, establishment",Sattari (Valpoi),15.6809601,74.1257912,,,['nature']
Talekhol waterfall,"J2XP+VFW, Panchayat Road Dodamarg, Talekhol",4.5,11.0,ChIJP8a2baWZvzsRnXk_Onj_3yo,"tourist_attraction, point_of_interest, establishment",Sattari (Valpoi),15.649727,74.0362081,,,['nature']
Anshi National Park,"X9X5+6FQ, Kodthalli, Karnataka 581187, India",4.4,2186.0,ChIJdyXW78j6vjsRJij0Mym0sqM,"tourist_attraction, park, point_of_interest, establishment",Sanguem,14.9980998,74.3587473,,,['nature']
Boating station for boat safari,"6CHV+RJ, Panjeli",3.9,10.0,ChIJSW-UaeXjvjsRuSSJdReT5ks,"tourist_attraction, point_of_interest, establishment",Quepem,15.2296169,74.4440742,,,['adventure']
Poppal Wadi Waterfalls,"89J8+5P, Aveda Poppal Wadi",4.8,14.0,ChIJPURdQTsFvzsRv8r92rVHGq4,"tourist_attraction, point_of_interest, establishment",Quepem,15.330442,74.366817,,,['nature']
